x,y,Thermal Conductivity,Lattice Parameter(WPF),delta_d(SPF-WPF),d-spacing(WPF),Fluorite Size Disorder,Entropy,strain(LMFIT-dspacing),a111(LMFIT),a200(LMFIT),mismatch(LMFIT-lattice parameter),d111(LMFIT),d200(LMFIT),corr_length,fwhm111(LMFIT),delta_d/d
-2.5,0.0,0.8158763,5.24143,0.0187292657307494,2.620715,0.1008698466761553,4.082760001743583,0.127619,5.241742,5.280213,-0.007339,3.026321,2.640106,2.948660272867483,0.096175,0.007146624387142211
-2.5,0.1,0.771208813,5.24143,0.0187292657307494,2.620715,0.1006367399460067,4.090575280466376,0.127619,5.241742,5.280213,-0.007339,3.026321,2.640106,2.948660272867483,0.096175,0.007146624387142211
-2.5,0.2,0.829449499,5.240792,0.0195563840714165,2.620396,0.1005249576658724,4.094682707803003,0.12755,5.241097,5.279977,-0.007418,3.025949,2.639988,2.948660272867483,0.096352,0.0074631407128603845
-2.5,0.3,0.795091107,5.240792,0.0195563840714165,2.620396,0.1004211827432422,4.098731978356713,0.12755,5.241097,5.279977,-0.007418,3.025949,2.639988,2.948660272867483,0.096352,0.0074631407128603845
-2.5,0.4,0.765504803,5.23999,0.0188012608620229,2.619995,0.1003158744142474,4.103101358083831,0.127673,5.240183,5.278312,-0.007276,3.025421,2.639156,2.948660272867483,0.09611,0.007176067458916106
-2.5,0.5,0.74653636,5.23999,0.0188012608620229,2.619995,0.1002182499681403,4.107402343919908,0.127673,5.240183,5.278312,-0.007276,3.025421,2.639156,2.948660272867483,0.09611,0.007176067458916106
-2.5,0.6,0.741705865,5.23999,0.0188012608620229,2.619995,0.1000431476606861,4.104477666272609,0.127673,5.240183,5.278312,-0.007276,3.025421,2.639156,2.948660272867483,0.09611,0.007176067458916106
-2.5,0.7,0.762275484,5.239369,0.0195320520633277,2.6196845,0.0999534203136515,4.108953432726343,0.127631,5.239517,5.277898,-0.007325,3.025036,2.638949,2.948660272867483,0.096686,0.0074558795394360266
-2.5,0.8,0.769240786,5.239369,0.0195320520633277,2.6196845,0.0998665642273768,4.113523443970776,0.127631,5.239517,5.277898,-0.007325,3.025036,2.638949,2.948660272867483,0.096686,0.0074558795394360266
-2.5,0.9,0.702164697,5.238598,0.0186476019638504,2.619299,0.0996954805598088,4.111080484800179,0.127721,5.238284,5.276112,-0.007221,3.024325,2.638056,2.948660272867483,0.097614,0.007119310152773853
-2.5,1.0,0.861933391,5.238598,0.0186476019638504,2.619299,0.0996162723705068,4.11577770572301,0.127721,5.238284,5.276112,-0.007221,3.024325,2.638056,2.948660272867483,0.097614,0.007119310152773853
-2.5,1.1,0.835142123,5.238598,0.0186476019638504,2.619299,0.0995433539862231,4.120289711019626,0.127721,5.238284,5.276112,-0.007221,3.024325,2.638056,2.948660272867483,0.097614,0.007119310152773853
-2.5,1.2,0.768397098,5.237605,0.0187191133429385,2.6188025,0.0993811679035414,4.118070819691461,0.12768,5.237298,5.275367,-0.007269,3.023755,2.637684,2.948660272867483,0.097863,0.007147966806560823
-2.5,1.3,0.816484944,5.237605,0.0187191133429385,2.6188025,0.0993113443246536,4.122845374607698,0.12768,5.237298,5.275367,-0.007269,3.023755,2.637684,2.948660272867483,0.097863,0.007147966806560823
-2.5,1.4,0.796917971,5.236652,0.0187671186292028,2.618326,0.0991571433580772,4.120521641268676,0.127657,5.235941,5.274137,-0.007295,3.022972,2.637069,2.948660272867483,0.098005,0.0071676019827946556
-2.5,1.5,0.853161954,5.236652,0.0187671186292028,2.618326,0.0990937356721181,4.125235961455236,0.127657,5.235941,5.274137,-0.007295,3.022972,2.637069,2.948660272867483,0.098005,0.0071676019827946556
